ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
Poland,1.0,10.0,34.9,51.42,0.0,0.0,0.0,0.0,1.0,0.0,0.35,0.35,Free
Portugal,1.0,10.0,38.5,51.98,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,Free
Romania,2.0,9.0,32.1,50.93,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-0.1,Free
Samoa,2.0,,,48.51,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,Free
San Marino,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,Free
Sao Tome and Principe,2.0,,50.6,49.53,0.0,0.0,0.0,0.0,0.0,1.0,-0.55,-0.55,Free
Serbia,2.0,,28.2,50.45,0.0,0.0,0.0,0.0,1.0,0.0,-0.28,-0.28,Free
Slovak Republic,1.0,10.0,25.8,51.07,0.0,0.0,0.0,0.0,1.0,0.0,0.44,0.44,Free
Slovenia,1.0,10.0,31.2,51.59,0.0,0.0,0.0,0.0,1.0,0.0,1.01,1.01,Free
South Africa,2.0,9.0,57.8,50.44,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,Free
Spain,1.0,10.0,34.7,51.07,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,Free
St. Kitts and Nevis,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.04,1.04,Free
St. Lucia,1.0,,,51.32,0.0,0.0,1.0,0.0,0.0,0.0,1.19,1.19,Free
St. Vincent and the Grenadines,1.5,,,51.18,0.0,0.0,1.0,0.0,0.0,0.0,1.04,1.04,Free
Suriname,2.0,,52.8,49.65,0.0,0.0,1.0,0.0,0.0,0.0,-0.09,-0.09,Free
Sweden,1.0,10.0,25.0,50.39,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.15,Free
Switzerland,1.0,10.0,33.7,51.23,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.06,Free
Trinidad and Tobago,2.0,10.0,40.3,50.62,0.0,0.0,1.0,0.0,0.0,0.0,-0.11,-0.11,Free
Tuvalu,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.15,Free
Ukraine,2.5,7.0,27.6,54.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,-0.72,Free
United Kingdom,1.0,10.0,36.0,51.36,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.71,Free
United States,1.0,10.0,40.8,50.85,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.34,Free
Uruguay,1.0,10.0,47.1,51.02,0.0,1.0,0.0,0.0,0.0,0.0,1.11,1.11,Free
Vanuatu,2.0,,,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,Free
Standard Deviation,2.0,6.3,9.4,2.24,,,,,,,1.0,1.0,Free
